king;rule_start;rule_end;birth;death
Gorm den Gamle;;958;;
Harald (1.) Blåtand;958;987;;987
Svend (1.) Tveskæg;987;1014;;1014
Harald (2.) Svensen;1014;1018;;1018
Knud (2.) den Store;1018;1035;995;1035
Hardeknud (Knud 3.);1035;1042;1020;1042
Magnus (1.) den Gode;1042;1047;1024;1047
Svend (2.) Estridsen;1047;1074;;1076
Harald (3.) Hén;1074;1080;;1080
Knud (4.) den Hellige;1080;1086;;1086
Oluf (1.) Hunger;1086;1095;;1095
Erik (1.) Ejegod;1095;1103;1056;1103
Niels;1104;1134;;1134
Erik (2.) Emune;1134;1137;;1137
Erik (3.) Lam;1137;1146;;1146
Svend (3.) Grathe;1146;1157;;1157
Knud (5.) Magnussen;1146;1157;;1157
Valdemar (1.) den Store;1157;1182;1131;1182
Knud 6 .;1182;1202;1163;1202
Valdemar (2.) Sejr;1202;1241;1170;1241
Erik (4.) Plovpenning;1241;1250;1216;1250
Abel;1250;1252;1218;1252
Christoffer 1 .;1252;1259;1219;1259
Erik (5.) Klipping;1259;1286;1249;1286
Erik (6.) Menved;1286;1319;1274;1319
Christoffer 2 .;1330;1332;1276;1332
Christoffer 2 .;1320;1326;1276;1332
Valdemar (3.) Eriksen;1326;1330;1314;1330
Valdemar (4.) Atterdag;1340;1375;1320;1375
Oluf 2 .;1376;1387;1370;1387
Margrete 1.;;1387;1353;
Erik (7.) af Pommern;1412;1439;1382;1459
Christoffer 3. af Bayern;;1440;1416;
Christian 1 .;1448;1481;1426;1481
Hans;1481;1513;1455;1513
Christian 2 .;1513;1523;1481;1559
Frederik 1 .;1523;1533;1471;1533
Christian 3 .;1534;1559;1503;1559
Frederik 2 .;1559;1588;1534;1588
Christian 4 .;;1588;1577;
Frederik 3 .;;1648;1609;
Christian 5 .;1670;1699;1646;1699
Frederik 4 .;1699;1730;1671;1730
Christian 6 .;1730;1746;1699;1746
Frederik 5 .;1746;1766;1723;1766
Christian 7 .;1766;1808;1749;1808
Frederik 6 .;1808;1839;1768;1839
Christian 8 .;1839;1848;1786;1848
Frederik 7.;1848;1863;1808;1863
Christian 9 .;1863;1906;1818;1906
Frederik 8 .;1906;1912;1843;1912
Christian 10 .;1912;1947;1870;1947
Frederik 9 .;1947;1972;1899;1972
Margrethe 2.;;1972;1940;
Kronprins Frederik;;;1968;
